Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Packet Length Mean,Protocol,Source Port,Destination Port,Label
3047362,8,77,74932.75136824555,264.6845199897612,6,26821,80,BENIGN
9973106,25,12,71479.05784378073,947.9823947466293,17,22736,3389,BENIGN
564785,40,55,28069.64770804404,821.500128067807,6,14772,443,BENIGN
2879290,32,43,32322.839277791747,996.0409621019196,6,3337,6667,Bot
1,1,0,28752.019863212765,1342.461608839842,17,50945,21,PortScan
9700444,28,95,12885.116651121552,693.3195632013142,17,8160,80,BENIGN
1007393,78,82,75278.16429608548,84.93644430313765,0,4586,6667,Bot
4774283,3,29,4627.651051524906,1149.9750053129576,0,43416,80,BENIGN
3366712,91,15,15058.049410342279,1221.7074049051798,17,43941,443,BENIGN
8411955,84,11,10530.451774784744,93.8347726321174,17,44288,22,BENIGN
5267280,79,73,82533.89755243344,379.41695458346135,6,35151,8080,Bot
46,1,0,4400.851538675099,1160.4832630109663,6,30553,22,PortScan
2704338,277,17,66462.72899165588,88.38256418909845,0,51432,443,DDoS
2630808,45,12,4447.459841080348,719.52406972734,6,8907,3389,BENIGN
3494779,92,92,78644.34039217993,1238.3000988677588,17,42056,21,BENIGN
5517309,25,23,91271.40863937486,160.0369168455309,6,14348,8080,BENIGN
1767740,61,11,48684.316583456144,1022.3808002086505,6,65094,8080,BENIGN
6723871,44,59,80454.18010122956,338.17689239147876,6,63992,443,BENIGN
1285260,97,59,70641.05328502283,112.72411799324442,17,38912,80,BENIGN
6080626,46,92,79563.52921734672,1000.4968114747709,0,10398,22,BENIGN
5173136,14,85,76677.51995259884,199.690134400221,6,6652,21,BENIGN
1425572,8,99,20536.788373873194,1125.5707430277246,17,9698,8080,BENIGN
49084,48,0,49955.90101547896,320.00397905772155,6,59607,6667,Bot
6556268,14,42,96041.41871263858,91.79779012962106,6,3266,6667,Bot
22,1,0,34353.29445814916,166.9602481888787,17,28983,22,PortScan
2231019,80,39,97048.70906370644,1265.079968143942,6,9618,3389,BENIGN
6940219,82,63,58316.17114337358,569.0329601836058,17,39939,8080,BENIGN
1737195,7,33,46161.14176657774,467.35462922377843,0,1788,21,BENIGN
4780550,79,33,65775.74650262021,746.9742531745393,6,58139,80,BENIGN
7469444,88,47,81583.91711776936,956.7402018981247,17,2859,8080,Bot
2109918,49,32,39420.81548507492,74.9113230633836,6,11805,3389,BENIGN
2231885,938,67,3295.417511463794,64.53718398116087,6,42787,3389,DDoS
3853439,13,29,70880.62979704114,1438.5524199341876,6,39860,8080,Bot
9467819,73,83,95616.67844973851,637.6140879092064,17,62569,6667,Bot
996207,56,89,62498.665027633804,630.6907757228759,17,13433,6667,Bot
7130244,56,78,18841.447854547332,1320.2686834714177,17,20410,8080,Bot
4545683,15,70,24824.253218111036,655.3814612434225,0,65219,80,BENIGN
3747489,57,70,90975.07186313742,1287.1611035209658,6,24534,8080,Bot
4142907,58,28,1356.2095604470637,61.93867784429433,17,28362,443,BENIGN
7988104,35,22,54874.666546341745,744.6829009765881,6,52995,80,BENIGN
6245135,88,33,15867.764519395578,1429.594986263095,6,14576,80,BENIGN
3602379,97,83,28276.44352170794,394.15089492139543,6,4148,8080,BENIGN
5516089,16,14,30698.164949326012,413.90913426959855,17,4219,80,BENIGN
2121790,580,96,21928.274773832756,90.61933933936655,0,47191,443,DDoS
491334,93,52,79235.20627061557,1390.7625073150314,0,25909,443,BENIGN
9909809,87,16,33220.917397875884,314.1385171086718,0,29427,3389,BENIGN
5401318,45,63,34548.4991265538,1384.043518259155,0,40787,443,BENIGN
6914650,970,83,45300.681369345904,75.57144615790418,17,13868,80,DDoS
6167394,40,60,90229.52887404225,1489.71002510636,0,12176,3389,BENIGN
9286129,54,56,68817.3032026683,1109.9590927498937,0,47679,22,BENIGN
6906826,14,76,6174.97041677777,1008.3448002616124,17,7865,22,BENIGN
5888894,59,87,3926.192103657411,1226.0566945007502,17,56332,8080,BENIGN
7558258,343,36,56638.92295770254,57.646852124041814,6,36048,22,DDoS
6510525,791,6,88706.05617272078,32.90767398521184,6,17842,8080,DDoS
8511117,27,7,32325.147600059114,265.0813529885726,0,12339,8080,Bot
7887839,47,86,24777.18289021684,57.99214744675224,6,9102,3389,BENIGN
769698,80,77,74819.10453130791,1052.8281249726583,17,39811,443,BENIGN
5292995,6,67,60209.13664698274,293.20123067067374,6,1873,21,Infiltration
7971479,55,20,56502.73423568051,1142.9547058551893,6,25706,8080,BENIGN
3331168,97,60,14930.119914354113,1196.6576874139187,17,52847,80,BENIGN
3256515,44,73,17596.131866098563,370.31487616998186,0,25719,8080,Bot
874471,18,85,28178.777592402428,148.34608925131278,6,7234,80,BENIGN
5654337,16,93,20683.89346819369,761.2150300926237,6,28634,80,BENIGN
973648,12,93,97144.47450464361,1337.5233956410707,0,48209,22,BENIGN
3344114,20,79,1861.101635615736,1273.9908295234811,6,41936,80,BENIGN
7064846,45,74,62605.63384293241,193.28203562039786,0,46793,6667,Bot
9602183,64,85,51759.88248754383,1447.8792314874222,17,55992,8080,BENIGN
6216304,59,28,32325.123589843628,410.64480917330474,17,60260,80,BENIGN
5193642,93,24,88758.87121039754,537.0989419941001,0,31607,8080,Bot
32,1,0,67016.25775392822,240.59435974675438,17,6812,22,PortScan
4574393,901,13,99835.43513232264,51.188891757751236,17,33710,80,DDoS
6707071,337,77,16865.595932648535,82.97160740469617,17,49779,8080,DDoS
43685,97,65,8786.783586782876,768.9958249743959,17,35953,8080,BENIGN
87,1,0,13939.726746634395,1244.7584378929218,17,53892,80,PortScan
109656,29,76,26929.096758459626,969.1252006600963,17,42743,8080,Bot
1575657,216,66,41678.69915679561,38.713403969293154,6,2670,3389,DDoS
8306561,45,29,86260.3285001943,845.0082867929124,6,30149,3389,BENIGN
2009121,77,17,28359.176632888662,115.00286631455026,6,47039,8080,BENIGN
1201582,9,53,91524.33100276822,879.5700299018024,17,9447,22,BENIGN
542435,447,99,46290.76884047166,76.98931951927409,6,43578,443,DDoS
4270170,15,20,64707.00185389826,165.6297682426249,0,31522,3389,BENIGN
6700479,106,52,26440.771405595075,39.787566330133444,0,32516,443,DDoS
3561020,13,82,15601.381602353793,1349.1687490494576,0,17969,21,BENIGN
6860106,91,15,86945.69406580493,887.3361621966799,6,56635,443,BENIGN
2484513,273,27,10950.618052016393,57.08275025304278,17,2830,3389,DDoS
2907460,71,3,77402.13057670227,627.98990072236,0,32218,6667,Bot
5895644,72,54,58098.43060768575,1468.7847270973302,6,1899,80,BENIGN
5697569,215,14,86113.77816788488,26.834560344872187,6,7538,8080,DDoS
2235100,354,63,71781.8412098177,56.39987669903161,17,27238,443,DDoS
6908631,36,64,28166.41021115418,471.99656355048415,17,26592,22,BENIGN
4322352,571,15,57442.75972572762,69.01620354472337,6,21143,21,DDoS
5822284,81,19,1307.3619605447284,1252.9237631687183,17,43540,80,BENIGN
402790,40,63,47521.834237242896,1148.6206597678363,17,21761,8080,Bot
2548521,93,32,8601.363557203567,1234.530970051089,17,46802,8080,BENIGN
1954209,27,80,42894.499781032966,463.54790689470576,17,3500,22,BENIGN
4422980,1,68,10961.18079986772,1061.4192058894362,17,61939,3389,BENIGN
7205647,34,68,95547.9806945415,345.4858146678761,6,41553,443,BENIGN
8323835,68,57,52306.79574077278,36.74107366699724,0,14345,8080,BENIGN
6457394,88,38,91321.79852766433,1302.4033879407887,6,17324,443,BENIGN
1384350,21,76,2236.6222965765846,794.8177208428697,6,1700,80,BENIGN
61187,33,35,63765.32838818979,1475.8069394734907,6,56982,21,BENIGN
6410007,7,93,30695.45019266202,589.8528284575452,6,53932,8080,BENIGN
1496276,65,67,43182.899596523624,1436.172050344416,6,9640,21,BENIGN
39453,3,86,87308.73952146897,930.2847499393879,17,2624,21,BENIGN
6484631,51,20,98002.10947587447,778.0635063185578,0,56057,3389,BENIGN
3360111,79,62,24649.195443335237,468.1582127060261,17,31231,22,BENIGN
30,1,0,94825.32853533016,1241.4089850836565,0,2364,8080,PortScan
4259722,54,5,68872.69488817191,1246.6162246292622,6,26229,22,BENIGN
4959717,80,23,95141.39143572707,637.0557076611968,6,62597,3389,BENIGN
5725670,74,52,56236.699862121,1096.393850077088,6,53184,21,BENIGN
416980,93,94,96075.62849914706,681.9121449518425,6,52241,80,BENIGN
7072795,59,82,89245.54581474337,1114.695755810681,6,63834,80,BENIGN
7433396,690,75,12859.174122544604,65.06544332881573,6,62831,443,DDoS
4965150,29,77,31078.992710173046,408.49454437088525,6,41726,443,BENIGN
813268,17,49,24306.319151251188,958.3976366260019,0,33959,8080,BENIGN
225381,60,11,57209.9326050257,582.2193883577138,6,62373,80,BENIGN
3782975,22,55,80279.94315059253,831.5899141997849,6,62380,21,BENIGN
2995865,24,14,75941.14468868812,1313.7379748390601,6,9232,80,BENIGN
7734202,81,82,72674.91322834766,534.4122867780891,0,8076,8080,BENIGN
5595208,635,91,37526.48757355859,52.51732115170459,0,2569,443,DDoS
5674819,51,39,13963.688162782795,1202.4270341595795,6,18938,8080,Bot
8658244,702,40,21058.355362859926,49.57562205898367,17,4837,443,DDoS
6609380,11,68,74167.74596483326,685.113401770259,0,2521,3389,BENIGN
5500406,56,68,14753.433905956326,291.33290940597277,6,1566,22,BENIGN
4372193,71,5,22294.67049335211,157.4220429227851,0,59094,3389,BENIGN
1561829,650,86,42455.26528734912,42.03190059807042,17,48433,443,DDoS
5031695,39,66,7211.243068746298,1083.978309754377,6,17786,21,BENIGN
5478147,69,32,21269.20607701298,629.4209743874421,0,5459,8080,BENIGN
9070377,48,42,14976.812734123656,863.9368293307197,17,31894,443,BENIGN
1119143,57,20,95132.17829118404,141.42741942121162,0,32812,443,BENIGN
7103330,294,83,19152.588554488913,81.36832525659258,0,5326,3389,DDoS
2558331,82,64,86176.97101703937,36.73262972251229,6,45477,21,BENIGN
6660008,99,16,11479.81912666084,1016.4609868126164,6,40074,443,BENIGN
3080489,941,92,86967.31323025073,82.61104781537972,0,61831,21,DDoS
1662009,15,7,59943.37862734697,1451.0513470330798,17,42829,6667,Bot
87,1,0,84970.59232246179,476.5145992842493,6,15743,21,PortScan
110178,77,89,86734.86885373575,558.1546975216966,0,4876,443,BENIGN
1915731,51,27,59637.35306674091,714.8449505426103,0,54997,8080,BENIGN
6314227,76,97,91769.4153395024,492.3283082124455,6,34465,22,BENIGN
9792812,62,89,58544.8291484623,1229.8159683782003,6,37312,22,BENIGN
2008287,303,12,71256.50778783753,58.64220399470235,0,47972,80,DDoS
1659166,37,12,41608.047716883266,36.33339722829808,6,12255,8080,Bot
2148915,6,37,91406.76944709873,988.8992102708463,0,56522,21,BENIGN
7355840,71,24,82416.25389120266,1035.4106542504935,17,3081,21,BENIGN
4506359,268,61,16671.31116169275,50.604941191562325,6,62813,3389,DDoS
7474015,8,22,57638.78502046988,568.1908119566205,6,22603,22,BENIGN
7658526,73,85,89682.73290869464,309.01435315458434,0,56041,3389,BENIGN
6404103,91,20,79306.4493658951,790.4599829224321,6,64232,21,Infiltration
4135414,4,53,96255.2780661325,682.3824131760172,17,18145,8080,BENIGN
910781,256,62,23130.16869475948,70.99383778421668,0,45942,21,DDoS
1607718,31,29,36745.9633130478,1357.8836530285998,17,29912,8080,Bot
43,1,0,50719.18880181313,148.3278809019163,17,31011,8080,PortScan
4336887,25,67,23266.917002726495,1272.937628400385,17,39939,8080,BENIGN
2755523,15,96,39404.52551888191,1365.2768997678077,17,61817,8080,Infiltration
71395,35,75,53753.92044243324,1387.721099831249,0,14996,443,BENIGN
9132682,49,72,19133.920300134065,1151.1785910997833,6,33660,80,BENIGN
7613387,43,31,25668.781870258063,1118.2821901380355,17,27324,3389,BENIGN
3445476,41,74,12484.249980879447,42.04722700358593,17,36445,21,BENIGN
5251135,37,23,71338.14098857484,1381.883601284946,0,10277,443,Infiltration
3612700,57,6,36155.192653613296,540.2277164369895,17,63051,8080,Bot
825916,42,71,22026.61531837884,80.8604069937406,17,59686,80,BENIGN
8763413,47,96,50732.414918095245,631.2093789576464,17,8280,443,BENIGN
2026893,92,88,6824.930568524767,1104.621897240413,17,32565,21,BENIGN
554694,61,0,92340.66063183948,674.0936984051425,6,59197,3389,BENIGN
8536426,14,2,29446.752115726427,1141.8564124188053,17,64786,8080,BENIGN
3504573,68,27,88646.43481838622,773.925951828629,0,61953,8080,Bot
7299795,811,42,49762.0065324647,64.61858576761372,6,45205,80,DDoS
2204764,84,96,85015.04977106405,320.3102693472283,0,7773,80,BENIGN
4341847,34,45,24706.44407896445,643.2328771234646,6,45368,80,BENIGN
9907871,76,0,17527.060224275305,72.98910853662406,6,38898,6667,Bot
687076,97,37,84941.18032348284,645.3649793976429,17,19555,443,BENIGN
2472289,884,90,21292.38823717109,73.3804373127727,17,24834,80,DDoS
8506504,986,34,74619.53492995801,44.48124257685383,0,18710,22,DDoS
1241182,69,73,34458.37946596324,871.7119271343186,6,4099,3389,BENIGN
5184602,30,75,74819.37264351614,976.1435851367843,6,64923,80,BENIGN
6561100,88,73,90764.62659883303,447.5187058565433,17,7757,80,BENIGN
6671558,7,53,98163.8431287293,354.21519321932755,6,5829,443,BENIGN
4892406,589,97,35980.94772686334,83.06796474296769,17,15685,21,DDoS
3674615,38,23,36752.58346405462,1013.9169148722999,17,11176,443,BENIGN
1579259,80,27,98138.77367848546,201.56411540386821,0,19108,443,BENIGN
12,1,0,86152.81302980383,373.18924699047284,17,57862,22,PortScan
4515588,15,15,4509.197191137804,1420.932163975911,17,28620,21,BENIGN
6041595,605,12,57344.99862265204,45.33942486816721,6,2048,443,DDoS
9056942,23,99,18124.477154843833,58.2306352726849,0,26199,8080,Bot
8767188,12,99,99401.25360932185,114.39743522260105,0,51617,443,BENIGN
6324267,93,61,13892.30123709737,1167.7322994859014,0,57523,22,BENIGN
792071,882,42,55934.761254286655,53.49786174997281,17,29705,3389,DDoS
501257,103,86,66519.83700291831,30.593818256405314,0,60790,8080,DDoS
4378827,93,77,93706.46546540564,246.7371491377705,17,17339,80,BENIGN
4124599,49,31,84725.83116441869,757.1957210390057,17,50821,80,BENIGN
5946694,760,66,24575.477132778302,88.42954578343353,17,8643,443,DDoS
5106899,15,90,57262.39512925046,573.4731548878206,17,35783,22,Infiltration
4327676,682,82,95357.39579058833,71.54189970967892,0,30829,8080,DDoS
4962240,42,85,73571.68471049376,113.02971080999842,0,61564,8080,Bot
83,1,0,68833.63483798938,1190.9157297264564,6,16815,443,PortScan
2905041,15,64,75490.10792811566,934.9668207481819,0,56014,3389,BENIGN
7983541,63,68,32250.61889878198,1255.2599831789903,6,20780,443,BENIGN
5320485,68,48,72925.22694032361,764.7389265277169,0,5771,22,BENIGN
2100121,27,32,23285.47514469159,1477.780225875553,0,64614,21,Infiltration
9749536,657,18,42810.27709077534,38.82296470323307,0,2670,3389,DDoS
6928140,93,35,88992.88171885065,422.2395609028825,17,53317,443,BENIGN
618567,53,69,1897.1146490751712,592.7258468311949,0,57204,8080,BENIGN
5333252,52,14,41431.86502523467,1134.0099311967242,0,32660,8080,BENIGN
7328241,823,99,26682.176673905957,88.13744430418492,6,64621,21,DDoS
5072248,73,96,19858.96164936094,1367.834721635531,0,54495,8080,BENIGN
71,1,0,83857.54214725122,985.8980737313351,17,15583,22,PortScan
5134307,57,26,69649.8572844978,723.1790458315463,0,19162,443,BENIGN
8517099,52,48,11263.272041148175,578.924293488886,6,1774,8080,Bot
6730986,43,74,49446.332650118944,640.384256067593,0,32374,21,BENIGN
9405734,7,22,46690.57718271111,1278.5996235648668,0,34634,21,BENIGN
5853684,42,32,14252.779402940852,1470.413088538944,6,31957,22,BENIGN
8170628,4,40,79976.27009912083,96.82559368154818,0,14883,3389,BENIGN
4301854,69,55,36667.39714541998,878.7621012998521,6,20822,80,BENIGN
2269142,5,28,76193.77751603944,789.6798786502925,6,45412,6667,Bot
1983609,75,30,19206.261508221247,576.6905667751145,17,58134,6667,Bot
7740241,92,64,31507.346161383233,1280.3331356787378,17,20918,3389,BENIGN
116481,80,97,9517.094770266587,872.099665004483,6,19711,21,BENIGN
1521801,41,17,14347.92697456082,483.41177210562137,17,61082,8080,Bot
6105625,94,81,88318.34903527329,677.2739767389083,17,51681,22,BENIGN
9588094,4,5,10911.264418557754,548.0692649281546,6,30715,6667,Bot
3438718,746,51,9573.12072859432,76.38344063856096,0,18835,3389,DDoS
7913797,209,39,94037.73108366599,55.37442044017995,0,21262,80,DDoS
2457284,21,64,64590.345966076755,185.6354080010441,0,30761,22,BENIGN
4103122,70,41,10091.598355441944,943.0636912893425,17,47491,6667,Bot
1418275,297,93,97171.67390660514,99.18742650329494,17,47132,8080,DDoS
3806788,82,67,14710.001050329713,962.1982145951074,0,28342,443,BENIGN
7265895,69,31,76634.5725285428,1149.3515881478645,6,5095,8080,BENIGN
3773062,9,9,3485.1361639586466,1416.430351787056,6,45258,80,BENIGN
4041876,84,68,62454.17973398115,1293.7150942011297,6,60976,443,BENIGN
2727523,28,8,54670.387210289584,639.3941774694403,17,3398,22,BENIGN
5709940,26,68,20800.381042530113,341.9638426434875,0,32586,3389,BENIGN
5130497,82,60,64314.614272041625,481.54127316985193,6,14389,22,BENIGN
3451456,83,10,61705.299317738856,889.8574021590324,0,39401,8080,BENIGN
9520273,3,98,79835.17154639767,1287.188334997199,0,60832,21,BENIGN
3444184,73,90,87587.40586004453,1058.5517027911696,17,53981,80,BENIGN
2927209,492,67,51010.4940653566,46.97678000488282,6,54111,80,DDoS
6979551,49,73,49029.51934841613,910.779972148851,17,47101,8080,BENIGN
8520081,17,96,62159.57709446977,801.8265963178904,0,51559,8080,Bot
7778584,63,7,72920.75892298132,1458.0087167678523,0,12836,443,BENIGN
8504002,55,48,35617.11724418746,1227.8153493382292,0,53452,8080,BENIGN
27,1,0,50464.18833662284,1176.2902787937,6,28550,21,PortScan
4842711,34,32,58510.41858231734,785.6469005583233,6,1303,8080,Bot
6357282,69,18,98837.80838359111,511.0779972029211,6,22582,80,BENIGN
4335968,15,1,58771.219645591664,48.88085961988558,0,54154,6667,Bot
9815096,47,54,22418.65507422567,84.27643605238542,0,3294,22,BENIGN
2215267,531,10,58798.98582402607,27.963965338923735,6,11371,21,DDoS
3886502,83,98,81949.95829490181,1471.1056148310336,0,40653,21,BENIGN
6545635,199,16,85740.36800111909,78.67672387058094,0,18091,443,DDoS
6842485,3,41,80025.04545930117,230.33590240419593,0,50777,21,BENIGN
9078652,4,60,88820.94152888418,736.541981437988,6,19451,21,BENIGN
26,1,0,33476.63418791274,732.4737270018752,17,51708,80,PortScan
1989273,31,85,50757.06209526621,1381.5611755819023,17,34752,22,BENIGN
3080861,45,34,77959.1096007544,128.82844287592616,17,4101,3389,BENIGN
1414566,59,84,26444.99507590984,1436.713964431914,6,34298,80,BENIGN
445201,45,88,37158.143785170105,340.25755274469316,0,43806,80,BENIGN
8106709,75,65,83115.5654556012,1455.827637771153,17,59562,8080,Bot
7413123,37,0,77008.56496204832,821.1596662278714,17,59242,3389,BENIGN
7613369,65,6,97119.9567916089,984.9788639779246,6,52491,8080,BENIGN
1105634,9,19,99597.40585146501,487.2785835377579,0,13504,8080,Bot
9972301,17,42,24074.454697137902,925.4994476274009,0,3827,3389,BENIGN
18,1,0,90044.99861736734,1072.0280742511086,6,6323,443,PortScan
4353227,3,54,9451.550135006913,35.34784759261222,17,61175,21,BENIGN
7315460,151,99,70980.02089640555,80.5639231821776,0,44101,443,DDoS
8073561,53,20,22009.938767555093,1479.9859776686828,0,17116,443,BENIGN
498963,31,50,30031.115692256273,697.1845152413669,17,38941,6667,Bot
8756362,26,45,94632.11776645418,1405.0099376461008,6,53366,22,BENIGN
2676288,23,34,26315.123673421193,1100.2484728886695,17,53964,21,BENIGN
3296090,30,99,67317.78691606302,571.9930957917303,0,30205,21,BENIGN
7783037,10,7,17812.850786325616,243.24616689462414,6,1757,22,BENIGN
6526918,72,67,9338.99775704876,1467.6645649143136,17,5579,21,BENIGN
9881493,89,15,33931.702534386444,885.054460505613,17,35453,8080,BENIGN
9185787,64,66,62419.61007894813,304.68780258537987,6,38345,443,Infiltration
5491690,22,70,24794.51437540812,1028.8464108362255,0,5686,21,BENIGN
6512540,512,63,30016.8798671674,24.717208482843755,6,21542,80,DDoS
6099728,56,1,70872.98186064551,1304.6951740154361,6,34761,443,BENIGN
6556068,74,0,10279.602298136902,153.40327393790164,0,31569,8080,BENIGN
2699115,20,57,44690.509180350746,369.5676502709301,17,1285,8080,BENIGN
9674833,47,0,94173.45298822242,155.31759203251553,6,21687,8080,Bot
8837690,87,6,39697.1662414225,173.60508093720938,6,54791,22,BENIGN
1172722,102,87,43420.10279774393,85.55352976031101,17,65491,80,DDoS
2503871,53,68,73820.43036072889,1036.7449077879005,0,32566,21,Infiltration
3177925,1,84,77901.15220328468,1186.9530393520113,17,49000,22,BENIGN
996261,2,91,76960.63897805245,1048.6818286110981,17,37391,8080,BENIGN
4183939,58,17,99786.70249135721,557.9649218133849,6,21367,443,BENIGN
666426,19,87,7145.108748705731,844.7859248296387,6,17793,8080,BENIGN
649250,62,31,98225.32846329993,1392.9428301537814,0,15935,21,BENIGN
3376057,78,44,95018.96169973988,593.6133913160024,6,46332,22,Infiltration
118934,720,32,85213.89002595581,82.07532110987944,17,2058,21,DDoS
3239676,12,73,45412.55758520417,788.5926462301621,17,65111,8080,Infiltration
5893409,26,72,87090.23716339243,460.056113526305,0,31954,80,BENIGN
5948640,27,48,22083.241230609518,407.4892369035763,6,51715,8080,BENIGN
4250013,29,32,79165.58353878303,1172.6288858548294,6,47746,21,BENIGN
4422301,15,96,18523.830312105416,1338.437068948353,0,35598,22,BENIGN
1079700,46,70,81536.20034711798,763.4286904684485,0,64871,8080,Bot
9414423,258,67,61452.91332640569,94.36770974604678,6,46147,443,DDoS
9827241,60,27,9803.127951352553,296.892350771917,0,28074,443,BENIGN
3503257,92,86,89531.95553572253,830.5116592930548,17,15184,22,BENIGN
8272974,57,52,57795.71954552444,961.5759152043856,0,52232,8080,BENIGN
8849951,3,95,65624.82781371147,746.1829683688226,17,63000,6667,Bot
1985688,18,43,28351.003565161005,192.98272019533042,17,35392,3389,BENIGN
8640159,52,79,87163.55039228065,1106.4683430922346,17,21095,3389,BENIGN
4197455,60,54,54520.07351535635,1261.8357022404589,6,38582,443,BENIGN
1752783,443,9,42112.02842915035,29.483929804231074,17,47276,80,DDoS
7716968,162,13,53428.17452283175,68.06476466247204,0,18208,443,DDoS
1004746,93,35,70331.30814677766,130.33761097584363,17,35861,8080,BENIGN
9360233,89,33,69504.78756992701,466.3737840982288,6,41001,22,BENIGN
3867600,60,87,35757.71009578127,74.74536553862079,6,12491,80,BENIGN
449495,26,17,38525.82801062605,1262.044135470342,6,29850,21,BENIGN
5144001,72,15,56223.81928384271,1060.5294513039096,6,12810,21,BENIGN
6754450,19,36,92440.7120716988,854.2592182809313,0,28457,6667,Bot
1260486,22,40,74543.02669659755,1336.6561051559231,6,18893,22,BENIGN
